,Id,OwnerUserId,CreationDate,ClosedDate,Score,Title,Body
154114,6064650,144542.0,2011-05-19T20:42:59Z,,2,How do I create a new development environment for a Sitecore project already in production?,"<p>My coworker and I are taking over a Sitecore project that was built by some other entity and is currently in production. What's the process for creating a local development environment so we can begin making changes?</p>
"
576416,19909240,2326907.0,2013-11-11T14:54:02Z,,0,jsp form selection not working,"<p>I have following jsp page, when i select MYAP_FORM i expect the hidden form to be displayed but it is not.</p>

<p>Right now i have only one form with display none, i will be adding more  and based on the selection will display right one.</p>

<p>Any inputs why i dont see the corresponding form displayed ...</p>

<p>Thanks</p>

<pre><code>&lt;%@ page language=""java"" contentType=""text/html; charset=UTF-8""
    pageEncoding=""UTF-8""%&gt;
&lt;!DOCTYPE html PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""http://www.w3.org/TR/html4/loose.dtd""&gt;
&lt;%@ page import=""java.io.*""%&gt;
&lt;%@taglib prefix=""c"" uri=""http://java.sun.com/jsp/jstl/core"" %&gt;
&lt;%@taglib prefix=""fn"" uri=""http://java.sun.com/jsp/jstl/functions"" %&gt;
&lt;c:set var=""url""&gt;${pageContext.request.requestURL}&lt;/c:set&gt;
&lt;c:set var=""baseURL"" value=""${fn:replace(url, pageContext.request.requestURI, pageContext.request.contextPath)}"" /&gt;

&lt;html&gt;
&lt;head&gt;
&lt;meta http-equiv=""Content-Type"" content=""text/html; charset=UTF-8""&gt;
&lt;link type=""text/css"" rel=""stylesheet"" href=""${baseURL}/bootstrap/css/bootstrap.css""&gt;
&lt;title&gt;Testing&lt;/title&gt;
&lt;/head&gt;
&lt;body&gt;
    &lt;script src=""${baseURL}/bootstrap/js/bootstrap.js""&gt;&lt;/script&gt;

        &lt;form id=""platform"" class=""container text-center""&gt;
        &lt;select id=""myselect""&gt;
        &lt;option value="""" selected=""selected""&gt;&lt;/option&gt;
        &lt;option value=""MYAP_FORM""&gt;MYAP_FORM&lt;/option&gt;
        &lt;option value=""XYZ_FORM""&gt;XYZ_FORM&lt;/option&gt;
        &lt;/select&gt;
        &lt;/form&gt;

    &lt;%
        String file = application.getRealPath(""/"") + ""xzyFiles.txt"";
        FileInputStream fis = new FileInputStream(file);
        BufferedReader br = new BufferedReader(new InputStreamReader(fis)); 
        String tmp;



        out.println(""&lt;form class=\""container\"" id=\""MYAP_FORM\"" style=\""display:none\""&gt;"");
        while ((tmp = br.readLine()) != null) {
           out.print(""&lt;label class=\""checkbox text-left\""&gt;"");
           out.print(""&lt;input type=\""checkbox\"" id=\"""" + tmp +""\"" value=\""1\""&gt;"" + tmp + ""&lt;/BR&gt;"");
           out.print(""&lt;/label&gt;"");
        }       
        fis.close();
        out.println(""&lt;button class=\""btn btn-primary\""&gt;Submit&lt;/button&gt;"");
        out.println(""&lt;button class=\""btn btn-primary\""&gt;Clear&lt;/button&gt;"");
        out.println(""&lt;/form&gt;"");
    %&gt;

    &lt;script&gt;
    $(""#myselect"").on(""change"", function() {
        $(""#"" + $(this).val()).show();
    })
    &lt;/script&gt;
&lt;/body&gt;
&lt;/html&gt;
</code></pre>
"
958990,31872170,2406032.0,2015-08-07T07:41:04Z,,0,Content falls beneath navigation bar when embedded in custom container view controller and UISplitViewController,"<p>I am using UISplitViewController and UIContainerView as shown in fig.</p>

<p><a href=""http://i.stack.imgur.com/XeEuZ.png"" rel=""nofollow""><img src=""http://i.stack.imgur.com/XeEuZ.png"" alt=""enter image description here""></a></p>

<p>Code for displaying this is:</p>

<pre><code>self.slidingViewController.topViewController = [self.storyboard instantiateViewControllerWithIdentifier:@""SplitContainerVC""];
</code></pre>

<p>It am Pretty sure auto layouts for container view are accurate.</p>

<p>Why my content view (search bar etc) is beneath <code>UINavigation bar</code>? Please see attached fig.</p>

<p><a href=""http://i.stack.imgur.com/CbWuK.png"" rel=""nofollow""><img src=""http://i.stack.imgur.com/CbWuK.png"" alt=""enter image description here""></a></p>

<p>I have removed following code and its work fine:</p>

<pre><code>- (BOOL)splitViewController:(UISplitViewController *)svc shouldHideViewController:(UIViewController *)vc inOrientation:(UIInterfaceOrientation)orientation
{
    return NO;
}
</code></pre>

<p>But i need this above code. What's an issue behind this?</p>
"
1058675,34705350,1534371.0,2016-01-10T12:28:20Z,,0,vs 2015 comunity deploye error Could not locate the appxrecipe file,"<p>i'm truing to run a  cordova app using vs 2015 community the deplooy failed with the following error 
 <strong>vs 2015 Could not locate the appxrecipe file. You may need to build your project</strong> </p>

<p><em>while it was working fine before</em></p>

<p>here is the out</p>

<pre><code>    1&gt;------ Build started: Project: BlankCordovaApp1, Configuration: Debug Windows Phone (Universal) ------
1&gt;  Your environment has been set up for using Node.js 5.4.0 (ia32) and npm.
1&gt;  ------ Ensuring correct global installation of package from source package directory: C:\Program Files (x86)\Microsoft Visual Studio 14.0\Common7\IDE\Extensions\ApacheCordovaTools\packages\vs-tac
1&gt;  ------ Name from source package.json: vs-tac
1&gt;  ------ Version from source package.json: 1.0.16
1&gt;  ------ Package already installed globally at correct version.
1&gt;  ------ Cordova tools 5.3.3 already installed.
1&gt;  ------ Build Settings:
1&gt;  ------ Build Settings:
1&gt;  ------    platformConfigurationBldDir: F:\#01.Hager\#01.work\Projects\Wesseya\Merge1\BlankCordovaApp1\bld\Windows Phone (Universal)\Debug
1&gt;  ------    platformConfigurationBinDir: F:\#01.Hager\#01.work\Projects\Wesseya\Merge1\BlankCordovaApp1\bin\Windows Phone (Universal)\Debug
1&gt;  ------    buildCommand: build
1&gt;  ------    platform: Windows Phone (Universal)
1&gt;  ------    cordovaPlatform: windows
1&gt;  ------    configuration: Debug
1&gt;  ------    cordovaConfiguration: Debug
1&gt;  ------    projectName: BlankCordovaApp1
1&gt;  ------    projectSourceDir: F:\#01.Hager\#01.work\Projects\Wesseya\Merge1\BlankCordovaApp1
1&gt;  ------    npmInstallDir: C:\Users\Hager\AppData\Roaming\npm
1&gt;  ------    buildTarget: AppHostLocalDebugger
1&gt;  ------    language: en-US
1&gt;  ------    changeList.changedFilesIos: bower.json,res\icons\android\icon-72-hdpi.png,res\screens\android\screen-mdpi-landscape.png,merges\android\scripts\android2.3-jscompat.js,merges\windows\scripts\winstore-jscompat.js,res\icons\ios\icon-60.png,res\screens\ios\screen-iphone-landscape-736h.png,res\icons\windows\StoreLogo.scale-100.png,www\scripts\index.js,res\icons\android\icon-48-mdpi.png,res\icons\ios\icon-72.png,res\icons\ios\icon-76.png,res\screens\ios\screen-ipad-portrait-2x.png,res\screens\ios\screen-iphone-portrait-2x.png,res\icons\windows\Square71x71Logo.scale-240.png,merges\android\scripts\platformOverrides.js,res\screens\android\screen-hdpi-portrait.png,www\css\index.css,res\icons\windows\StoreLogo.scale-240.png,res\screens\ios\screen-ipad-landscape.png,res\icons\ios\icon-60-3x.png,res\screens\wp8\SplashScreenImage.jpg,res\screens\ios\screen-ipad-landscape-2x.png,res\screens\ios\screen-iphone-568h-2x.png,res\icons\windows\Square150x150Logo.scale-100.png,package.json,res\screens\android\screen-ldpi-landscape.png,res\icons\windows\Wide310x150Logo.scale-240.png,res\icons\windows\Wide310x150Logo.scale-100.png,res\icons\ios\icon-72-2x.png,res\icons\ios\icon-76-2x.png,res\icons\ios\icon-small.png,res\icons\windows\Square30x30Logo.scale-100.png,build.json,res\icons\wp8\Background.png,www\index.html,res\icons\ios\icon-40.png,res\icons\ios\icon-60-2x.png,res\screens\android\screen-ldpi-portrait.png,res\native\android\ant.properties,res\icons\windows\Square310x310Logo.scale-100.png,www\scripts\platformOverrides.js,taco.json,res\icons\windows\Square150x150Logo.scale-240.png,res\icons\android\icon-36-ldpi.png,merges\windows\scripts\platformOverrides.js,res\screens\ios\screen-iphone-portrait.png,Project_Readme.html,res\screens\android\screen-xhdpi-portrait.png,res\icons\ios\icon-50-2x.png,res\icons\ios\icon-57-2x.png,res\icons\ios\icon-50.png,res\icons\ios\icon-57.png,res\icons\ios\icon-small-2x.png,res\icons\windows\Square70x70Logo.scale-100.png,res\screens\windows\SplashScreen.scale-240.png,res\icons\android\icon-96-xhdpi.png,res\icons\wp8\ApplicationIcon.png,res\icons\ios\icon-40-2x.png,res\screens\ios\screen-iphone-portrait-667h.png,res\screens\android\screen-hdpi-landscape.png,res\screens\windows\SplashScreenPhone.scale-240.png,res\screens\windows\SplashScreen.scale-100.png,res\screens\ios\screen-iphone-portrait-736h.png,res\screens\ios\screen-ipad-portrait.png,res\screens\android\screen-xhdpi-landscape.png,res\icons\windows\Square44x44Logo.scale-240.png,res\screens\android\screen-mdpi-portrait.png,config.xml
1&gt;  ------    changeList.deletedFilesIos:
1&gt;  ------    changeList.addedPluginsIos:
1&gt;  ------    changeList.deletedPluginsIos:
1&gt;  ------    changeList.addedPlugins:
1&gt;  ------    changeList.deletedPlugins:
1&gt;  ------ Platform windows already exists
1&gt;  ------ Updating plugins
1&gt;  ------ Currently installed plugins:
1&gt;  ------ Currently installed dependent plugins:
1&gt;  ------ Currently configured plugins:
1&gt;  ------ Preparing platform: windows
2&gt;------ Deploy started: Project: BlankCordovaApp1, Configuration: Debug Windows Phone (Universal) ------
2&gt;Could not locate the appxrecipe file. You may need to build your project.
2&gt;Deployment failed.
========== Build: 1 succeeded, 0 failed, 0 up-to-date, 0 skipped ==========
========== Deploy: 0 succeeded, 1 failed, 0 skipped ==========
</code></pre>
"
38679,1915010,233017.0,2009-12-16T14:33:36Z,,1,"VS 2008 MSI Installer: Context.Parameters[""TARGETSITE""] empty when repairing","<p>i created a web setup project in vs 2008 and added some custom actions.
While installing i get the default forms (apppool, appname, website), some pre-defined custom forms and some selfmade custom forms.
Now while installation i add some data in the registry.</p>

<p>I have only one problem: TARGETSITE property.
This property is filled by default form (Context.Parameters[""TargetSite""] is something like ""/LM/W3SVC/1"" for defaultWebSite) and its value properly added to the registry.
Everthing is fine until i use the repair function...</p>

<p>Whilst repairing, the first few default forms will be skipped by installation, therefore the TARGETSITE property will be empty (Context.Parameters[""Targetsite""] is """").
Sadly i can not interfere with that to get the needed value from registry where i added it for exactly that reason.
Because the registry values will be updated before custom code is triggered in the ""override Install"" method.
Even onBeforeInstall is fired after the registry has been updated.</p>

<p>If a rollback is done, while repairing, the registry key will be reset to the correct value before, so i have to believe, that somehow i can access this value from within my custom action code.</p>

<p>Someone has any suggestion on how to get this important value?</p>

<p>P.S.: 
i tried to set the condition within the registrykey, so that it would only be updated when the TARGETSITE value is not empty, but iÂ´m afraid this will be ignored big time...
TARGETSITE != """" in the registry keys condition-field has absolutely no efect whatsoever...</p>
"
268921,9906720,1085457.0,2012-03-28T11:38:53Z,,0,Proper exception handling when invoking WCF callback method,"<p>I have a series of WCF services that invoke methods on the client again (using WcfDuplexChannels) based on events at the server side. However, it seems there are quite some exceptions that can occur, so right now I have a huge try/catch block around every line calling back to the client, ending with disabling of the event in case any exception occurs. Besides being cumbersome to write every time, <strong>I'm not sure if I could simplify the try catch block by catching just a few base exceptions?</strong> Right now I don't really care what's causing the exceptions (I don't care whether it's faulted, aborted, disposed or timed out) but I do log the different exceptions.</p>

<p><strong>I also read about IErrorHandler, but will that actually be suitable when invoking a method on the client?</strong></p>

<p>Here's a sample of my current strategy:</p>

<pre><code>    private void OnProductChanged(List&lt;DTO&gt; products)
    {
        try
        {
            client.OnProductChanged(products);
            return;
        }
        catch (TimeoutException)
        {
            log.Info(""Communication to client timed out."");
        }
        catch (CommunicationObjectAbortedException)
        {
            log.Info(""Connection to client is in aborted state."");
        }
        catch (CommunicationObjectFaultedException)
        {
            log.Info(""Connection to client is in faulted state."");
        }
        catch (CommunicationException ce)
        {
            log.InfoFormat(""CommunicationException occured on product change notification: {0}."", ce.Message);
        }
        catch (ObjectDisposedException)
        {
            log.Info(""Communication channel is disposed."");
        }
        catch (Exception e)
        {
            log.WarnFormat(""Unhandled {0} on client callback: {1}"", e.GetType(), e.Message);
        }

        SendProductChanged = false;
    }
</code></pre>

<p>The <code>SendProductChanged = false;</code> line will take care of unbinding the event handler.</p>
"
628412,21608740,208696.0,2014-02-06T16:39:17Z,,0,EF: How to use custom selectors to project related entities?,"<p>Let's say I have 2 entities (1-to-many) relation: <code>Component</code> and <code>Part</code> like so:</p>

<pre><code>public Component
{
   string CompName { get; set; }
   byte[] CompBlob { get; set; }
   ICollection&lt;Part&gt; Parts { get; set; }
}
public Part
{
   string PartName { get; set; }
   byte[] PartBlob { get; set; }
}
</code></pre>

<p>When I load a <code>Component</code>, I want to always load its <code>Parts</code> for this particular entity. </p>

<p>I want to know how to select / project a list of components so that EF will not load additional inner properties (eg: only <code>CompName</code> and <code>PartName</code> to be loaded but <strong>not</strong> <code>CompBlob</code> and inner <code>PartBlob</code>). </p>

<p>Maybe something like below, but how to apply a selector for <code>Parts</code>? </p>

<pre><code>//
dbContext.Components.Include(c =&gt; c.Parts).Where(filterComponents).Select(.?.)
//
</code></pre>

<p>If needed, I have <code>LazyLoadingEnabled</code> set to false</p>
"
1001835,33167910,3486978.0,2015-10-16T10:12:23Z,,0,Retrieve all products from Shoplo API,"<p>Is there a way to retrieve all products from a URL of a shoplo website?</p>

<p>I know I can create partner account, attach shop inside there, generate keys and retrieve all products for this specific shop. But what about other people's shops?</p>
"
208940,7919170,551947.0,2011-10-27T16:26:36Z,,2,"cell in Excel ""Number stored as text""","<p>I have a C# program that takes a text file of a legacy report and maps to an excel sheet.
but for the transaction cells it is output as ""Number stored as text"" this does not allow 
any formatting. We want to show 1,000.00 but it only as 1000.</p>

<p>Is there a way I can get this formatting? those columns are Balance and Amount.
here it is defined:</p>

<pre><code>ndcRange = currentSheet.Cells[transactionRowNo + pageOffset, 13];
ndcRange.NumberFormat = ""@"";
ndcRange.Value2 = tr.Amount;

ndcRange = currentSheet.Cells[transactionRowNo + pageOffset, 16];
ndcRange.NumberFormat = ""@"";
ndcRange.Value2 = tr.Balance;
</code></pre>

<p>Here is some code where some formatting is done:</p>

<pre><code>string balance = transaction;

if (lastSpaceIndex != -1)
{

   balance = transaction.Substring(lastSpaceIndex, (transaction.Length)lastSpaceIndex);

}

transac.Balance = balance;
transaction = transaction.Replace(balance, """");


transaction = transaction.Trim();

if (!string.IsNullOrWhiteSpace(transaction))
{
    transac.Description = transaction;
}
patient.TransactionsList.Add(transac);
</code></pre>
"
840158,28254950,1219368.0,2015-01-31T18:18:58Z,,0,Polymer: How to show a DOM element not decleared in the custom/core element definition?,"<pre><code>&lt;core-scaffold&gt;
    &lt;core-header-panel navigation flex&gt;
      &lt;core-toolbar id=""navheader"" style=""height:100px; background-color:#E5E5E5; padding-top:18px;""&gt;
        &lt;span&gt;&lt;my-logo&gt;
          &lt;img src=""images/logo.png"" /&gt;
        &lt;/my-logo&gt;&lt;/span&gt;
      &lt;/core-toolbar&gt;
      &lt;core-menu&gt;
        &lt;core-item name=""livemusic"" label=""Live music""&gt;&lt;paper-ripple&gt;&lt;/paper-ripple&gt;&lt;/core-item&gt;
      &lt;/core-menu&gt;
    &lt;/core-header-panel&gt;
    &lt;paper-input label=""Your Name"" block&gt;&lt;/paper-input&gt;
 &lt;/core-scaffold&gt;
</code></pre>

<p>I want the <strong>paper-input</strong> to show in the navigation bar. But it doesn't. how do I do it? (I tried to put it within the <strong>core-toolbar</strong> tags)</p>

<p>Thanks in advance</p>
"
625365,21512490,2604378.0,2014-02-02T15:41:39Z,,1,prevent django-allauth login on confirm email,"<p>I am using django-allauth to handle user registration in my site. I noticed a strange behavior. Let's say I register a new user in the site. That user get's a new email with a link to click. When the user clicks that link it takes him in the confirm page. There the user clicks the confirm button and users email is confirmed. </p>

<p>The problem is that as as a side effect the user is also logged in. I don't want that. This only happens only the first time I visit that page. If I visit that page again and confirms the email the user does not log in automatically. </p>

<p>My question is how can I prevent the user log in even in the first time he confirms the email. I searched the documentation but couldn't not find any setting to prevent this. Also I looked in the source code of ConfirmEmailView and I can't see a way to turn off this behavior besides manually commenting this line </p>

<pre><code>resp = self.login_on_confirm(confirmation)
</code></pre>

<p><strong>Update:</strong></p>

<p>I think I found a workaround to the problem without having to fork or whatever. I just copied that class in my own views file trying to make sure I also imported all the other dependencies that are needed. Then I just deleted that call on login and the function that it calls. I hope I did a good job with that. After that in my urls.py, right before the imports for allauth, I copied the line that is used for confirm-email and redirected it to my own view. And now it looks like this</p>

<pre><code>url(r'^accounts/confirm-email/(?P&lt;key&gt;\w+)/$', 'userprofile.views.confirm_email',
                       name=""account_confirm_email""),
</code></pre>

<p>Seems a bit hackish but it seems to work well. I hope someone comes up with a better solution.</p>
"
104337,4343390,434153.0,2010-12-03T07:35:35Z,,5,Is there a way to put UITextView's scroll indicator to outside UITextView?,"<p>It might be a silly question.
I'm trying to set left/right margins like the attached picture. I succeeded to implement it by adding UITextView to UIScrollView.
However, I could achieve almost everything I want with UITextView alone. For example, with UIScrollView, when I manually change the text of UITextView, it automatically scrolls to bottom regardless of setting its .scrollEnabled to No. </p>

<p>It would be perfect if a scroll indicator of UITextView appears outside UITextView.
In the attached picture, let's say the red box represents the entire UITextView. I tried to change UITextView's scrollIndicatorInsets property, but a scroll indicator can be moved only inward to be visible.</p>

<p>Several apps such as Pages, aWriter, Plaintext achieve this feature.
Could you give any suggestion?</p>

<p>Thank you!</p>

<p>I <img src=""http://i.stack.imgur.com/8euXV.png"" alt=""alt text""></p>
"
19591,1096000,43.0,2009-07-08T03:25:58Z,,1,RSS <link> tag not appearing in <head> of Drupal view page display output,"<p>I have a Drupal 6 site with a view that has a page and a feed display. Both the page and the feed work great. The view just shows content type Story in reverse chronological order- basic blog listing page.</p>

<p>While the RSS look good, the page display doesn't include the  tag in the header for auto-discovery. I've outputting $head in my page.tpl.php, so it should be there. Also, I noticed the $feed_icons variable is empty.</p>

<p>Any ideas?</p>
"
833466,28049400,4343021.0,2015-01-20T15:41:14Z,,0,Curl (7) Failed to connect to xx.xxx.xx.xxx port 4121,"<p>I am trying to request json data from my server that allows sockets to my main webserver using Curl. It keep getting a message </p>

<blockquote>
  <p>""Curl (7) Failed to connect to xx.xxx.xx.xxx port 4121"" error. </p>
</blockquote>

<p>I have tried to Curl google and this works.
I have also googled around for maybe something that needs to be changed in the apache or php settings but i can't find anything.</p>

<p>This is the code I used:</p>

<pre><code>$url = ""http://xx.xxx.xx.xxx:4121/serverlist/core/MinecraftQuery.php?ip=play.preludecraft.com&amp;port=25565"";


$ch = curl_init();
curl_setopt( $ch, CURLOPT_USERAGENT, ""Mozilla/5.0 (Windows; U; Windows NT 5.1; rv:1.7.3) Gecko/20041001 Firefox/0.10.1"" );
curl_setopt($ch, CURLOPT_URL, $url);
curl_setopt($ch, CURLOPT_RETURNTRANSFER, true);
if(!$data = curl_exec($ch)){
    die('Error: ""' . curl_error($ch) . '"" - Code: ' . curl_errno($ch));
} else {
    print_r($data);
}
</code></pre>

<p>main webserver: jonassnellinckx.com (godaddy)</p>

<p>allows sockets: xx.xxx.xx.xxx:4121 (limestone network)</p>

<p>Does anyone know what the problem is here? I can't seem to find a proper solution anywhere.</p>
"
