,Id,OwnerUserId,CreationDate,ParentId,Score,Body
1561628,30369089,284240.0,2015-05-21T09:01:30Z,30368940,2,"<p>So you want only unique rows according to the <code>ORDER_NO</code> column? </p>

<p>Presuming that it's a string column you could use LINQ's <code>Enumerable.GroupBy</code>:</p>

<pre><code>var uniqueRows = table.AsEnumerable()
    .GroupBy(row =&gt; row.Field&lt;string&gt;(""ORDER_NO""))
    .Where(group =&gt; group.Count() == 1)
    .Select(group =&gt; group.First());
</code></pre>

<p>if you want a new <code>DataTable</code> from the unique rows you can use:</p>

<pre><code>table = uniqueRows.CopyToDataTable();
</code></pre>

<p>If you instead only want this column's values:</p>

<pre><code>IEnumerable&lt;string&gt; unqiueOrderNumbers = uniqueRows.Select(row =&gt; row.Field&lt;string&gt;(""ORDER_NO""));
</code></pre>
"
1561645,30369382,1201313.0,2015-05-21T09:12:52Z,30368940,0,"<p>Apart from @Tim's answer you can also use DataView to simplify this thing</p>

<pre><code>DataView view = new DataView(table);
DataTable distinctValues = view.ToTable(true, ""ORDER_NO"");
</code></pre>

<p>I think this is the simplest way to get distinct values from any table. You can even mention multiple columns in the ToTable method. Just pass column name as argument like ORDER_NO is send in above sample code.</p>
"
1618462,31573487,1754650.0,2015-07-22T20:35:15Z,31573240,0,"<p>Try this:</p>

<pre><code>SELECT A.ID, A.JOB, A.STATUS, B.START_DATE, CASE WHEN A.STATUS = 'done' THEN C.END_DATE ELSE NULL AS END_DATE
FROM &lt;JOBS_TABLE&gt; A
JOIN (SELECT ID, JOB, MIN(DATE) AS START_DATE FROM &lt;JOBS_TABLE&gt; GROUP BY ID, JOB) B
ON A.ID = B.ID
AND A.JOB = B.JOB
JOIN (SELECT ID, JOB, MAX(DATE) AS END_DATE FROM &lt;JOBS_TABLE GROUP BY ID, JOB) C
ON A.ID= C.ID
AND A.JOB = C.JOB
AND A.DATE = C.END_DATE
</code></pre>

<p>You'll need to replace &lt; JOBS_TABLE > with whatever your table name is. Ideally, this should combine the data from the  first and last rows for each distinct set of ID and JOB values. If the job is not finished, it will not show an END_DATE.</p>
"
1618575,31576273,4116017.0,2015-07-23T00:33:20Z,31573240,1,"<p>One way to do it is to use <code>ROW_NUMBER</code> function twice in ascending and descending order to get first and last rows of each group. See <a href=""http://sqlfiddle.com/#!6/e9ff5/2/0"" rel=""nofollow"">SQL Fiddle</a></p>

<pre><code>WITH
CTE
AS
(
  SELECT
    ID
    ,Status
    ,dt
    ,Job
    ,Note
    ,ROW_NUMBER() OVER (PARTITION BY ID, Job ORDER BY dt ASC) AS rnASC
    ,ROW_NUMBER() OVER (PARTITION BY ID, Job ORDER BY dt DESC) AS rnDESC
  FROM T
)
SELECT 
    ID
    ,Status
    ,dt
    ,Job
    ,Note
FROM CTE
WHERE rnAsc=1 OR rnDesc=1
ORDER BY ID, Job, dt
</code></pre>

<p>This variant would scan through the whole table, calculate row numbers and discard those rows that don't satisfy the filter.</p>

<p>The second variant is to use <code>CROSS APPLY</code>, which may be more efficient, if (a) your main table has millions of rows, (b) you have a small table with the list of all <code>ID</code>s and <code>Job</code>s, (c) the main table has appropriate index. In this case instead of reading all rows of the main table you can do index seek for each <code>(ID, Job)</code> (two seeks, one for first row plus one for the last row).</p>
"
1618614,31576867,1212725.0,2015-07-23T01:48:04Z,31573240,0,"<p>I don't think there's much wrong with your UNION idea.  Is this what you have?</p>

<p>select id, job, status, max(date), job, note, 'max' as type from test1 group by job UNION
select id, job, status, min(date), job, note, 'min' as type from test1 group by job;</p>
"
1726420,33882086,3418066.0,2015-11-23T22:36:41Z,33880150,1,"<p>Rather than attempting to code frame values directly, I would suggest you adopt auto layout.  Here is the basis of a UIView subclass that does what you want (I haven't bothered with the fonts, but you can add that easily) -</p>

<pre><code>import UIKit

@IBDesignable
class MyView: UIView {

    var headerLabel:UILabel!
    var bodyLabel:UILabel!

    override init(frame: CGRect) {
        super.init(frame: frame)
        self.addLabels()
    }

    required init?(coder aDecoder: NSCoder) {
        super.init(coder: aDecoder)
        self.addLabels()
    }


    func addLabels() {

        self.translatesAutoresizingMaskIntoConstraints=false

        self.headerLabel=UILabel()
        self.headerLabel.translatesAutoresizingMaskIntoConstraints=false
        self.headerLabel.textAlignment=NSTextAlignment.Center

        self.addSubview(self.headerLabel)

        self.bodyLabel=UILabel()
        self.bodyLabel.translatesAutoresizingMaskIntoConstraints=false
        self.bodyLabel.numberOfLines=0
        self.bodyLabel.textAlignment=NSTextAlignment.Center

        self.addSubview(self.bodyLabel)
    }

    override func updateConstraints() {
        self.addConstraint(NSLayoutConstraint(item: self.headerLabel, attribute: NSLayoutAttribute.Top, relatedBy: NSLayoutRelation.Equal, toItem: self, attribute: NSLayoutAttribute.Top, multiplier: 1.0, constant: 24))

        self.addConstraint(NSLayoutConstraint(item: self, attribute: NSLayoutAttribute.CenterX, relatedBy: NSLayoutRelation.Equal, toItem: self.headerLabel, attribute: NSLayoutAttribute.CenterX, multiplier: 1.0, constant: 0))

        self.addConstraint(NSLayoutConstraint(item: self, attribute: NSLayoutAttribute.CenterX, relatedBy: NSLayoutRelation.Equal, toItem: self.bodyLabel, attribute: NSLayoutAttribute.CenterX, multiplier: 1.0, constant: 0))

        self.addConstraint(NSLayoutConstraint(item: self, attribute: NSLayoutAttribute.Bottom, relatedBy: NSLayoutRelation.Equal, toItem: self.bodyLabel, attribute: NSLayoutAttribute.Bottom, multiplier: 1.0, constant: 24))

        self.addConstraint(NSLayoutConstraint(item: self.bodyLabel, attribute: NSLayoutAttribute.Top, relatedBy: NSLayoutRelation.Equal, toItem: self.headerLabel, attribute: NSLayoutAttribute.Bottom, multiplier: 1.0, constant: 12))

        self.addConstraint(NSLayoutConstraint(item: self, attribute: NSLayoutAttribute.LeadingMargin, relatedBy: NSLayoutRelation.Equal, toItem: self.bodyLabel, attribute: NSLayoutAttribute.Leading, multiplier: 1.0, constant: 0))
        self.addConstraint(NSLayoutConstraint(item: self, attribute: NSLayoutAttribute.TrailingMargin, relatedBy: NSLayoutRelation.Equal, toItem: self.bodyLabel, attribute: NSLayoutAttribute.Trailing, multiplier: 1.0, constant: 0))

        super.updateConstraints()
    }

    override func prepareForInterfaceBuilder() {
        self.headerLabel.text=""Header""
        self.bodyLabel.text=""Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum Lorum Ipsum ""
    }

}
</code></pre>
"
349859,6065871,134360.0,2011-05-19T23:14:44Z,6064650,3,"<p>The best approach is to completely duplicate everything from prod. That usually involves:</p>

<ul>
<li>Go on the prod server and zip up the site's root. The IIS website will point to a ""website"" folder. In addition, you'll want the site's ""data"" folder, which is usually one folder above the ""website"" so its not web-accessible. The data folder contains the license, logs, etc.</li>
<li>In SQL management stuido, make a backup of the Core, Master, and Web databases for the site. They're listed in the <code>/Website/App_Config/ConnectionStrings.config</code> file. There may be more databases for Sitecore modules that you need</li>
<li>Pull the site zip and databases locally and re-configure them on your local machine. Some key setting you'll need to update your local environment are
<ul>
<li>Settings in the <code>/Website/App_Config/ConnectionStrings.config</code> for local data sources</li>
<li>The <code>web.config</code>'s <code>dataFolder</code> setting which maps the path on the file system to the data folder</li>
</ul></li>
</ul>
"
350046,6069100,29555.0,2011-05-20T08:04:14Z,6064650,0,"<p>Once you get everything duplicated locally(following Mark's steps ) I usually remove the web database reference from the web.config and change all references of ""web"" to ""master"". It's easier to develop this way as sitecore is running in live mode and you don't have to worry about publishing. </p>

<p>My usually folder structure for a sitecore project is </p>

<ul>
<li><p>sampleproject</p>

<ul>
<li><p>lib</p>

<ul>
<li>sitecore - which contains all the sitecore sold</li>
</ul></li>
<li><p>src </p>

<ul>
<li><p>data - datafolder stuff goes here</p></li>
<li><p>website </p></li>
</ul></li>
</ul></li>
</ul>

<p>On post build I copy all the dlls from /lib/sitecore to the bin folder. </p>
"
1072124,19987828,2326907.0,2013-11-14T20:35:22Z,19909240,0,"<p>JQuery Script was missing, once added it worked fine.</p>
"
1632736,31875418,2406032.0,2015-08-07T10:21:07Z,31872170,0,"<p>Starting in iOS 8 you should use preferredDisplayMode. As <code>shouldHideViewController</code> is deprecated in iOS8.</p>

<p>To show both view controllers in portrait mode do the following:</p>

<pre><code>self.splitViewController.preferredDisplayMode = UISplitViewControllerDisplayModeAllVisible;
</code></pre>

<p>Hope this helps!</p>
"
1782622,35084854,5856699.0,2016-01-29T12:42:46Z,34705350,0,"<p>If you are in windows 10 then change the config.xml windows target version from 8.1 to 10
this will let the app work on windows 10 but on 8 I couldn't find yet</p>
"
1797107,35404729,4129129.0,2016-02-15T08:38:20Z,34705350,0,"<p>I faced the same error in windows 8.1 app using VS2015. By changing the windows target version as Windows 8.1 in config.xml solved my issue.</p>
"
113330,1921619,233017.0,2009-12-17T12:59:12Z,1915010,1,"<p>I solved the problem by working around the installers registry key.
I manually create a subKey under the installers registryEntry, where I store my Context.Parameters[""TARGETSITE""] value.
So the repair feature will not overwrite the keyValue because itÂ´s a custom key.
Now I have my value either in the context or in the registry.</p>

<p>FunFacts:
When I create the customKey within the Installers own key, I take advantage of the standart meachnism, which delets the installers registry key and with that my customKey will also vanish.</p>

<p>Maybe this might help if someone else faces this problem sometime...</p>
"
560694,9906825,410443.0,2012-03-28T11:45:28Z,9906720,1,"<p>You can write a wrapper method which takes Actions of Funcs as parameters and you can use try catch blocks inside this function. You can call your functions using this function; something like:</p>

<pre><code>public void CallMethod(Action methodToBeCalled)
{
   try
   {
      methodToBeCalled();
   }
   catch 
   .....
   ....
}
</code></pre>

<p>Then call your functions like:</p>

<pre><code>CallMethod(() =&gt; client.OnProductChanged(products));
</code></pre>
"
1151666,21609576,2255861.0,2014-02-06T17:14:25Z,21608740,1,"<p>If I understand you correctly...    </p>

<pre><code>var query = dbContext.Components.Select(x =&gt; new {
        CompName = x.CompName,
        Parts = x.Parts.Select(p =&gt; p.PartName)
    }).ToList();
</code></pre>

<p>Add additional filters and selectors as you require.  You may / may not need the Include statement (.Include(""Parts""))</p>
"
1151670,21609602,2843136.0,2014-02-06T17:15:51Z,21608740,2,"<p>If you're using entity framework, you need to add primary key for each entity, like below:</p>

<pre><code>public class Component
{
    public int Id { get; set; }
    public string CompName { get; set; }
    public byte[] CompBlob { get; set; }
    public ICollection&lt;Part&gt; Parts { get; set; }
}
public class Part
{
    public int Id { get; set; }
    public string PartName { get; set; }
    public byte[] PartBlob { get; set; }
}
</code></pre>

<p>Then make the query like:</p>

<p>LazyLoading Disable Case:</p>

<pre><code>var result = dbContext.Components.Include(""Parts"").Select(m =&gt; new 
             {m.CompName, PartNames = m.Parts.Select(n =&gt; n.PartName)}).ToList();
</code></pre>

<p>LazyLoading Enabled Case:</p>

<pre><code> var result = dbContext.Components.Select(m =&gt; new 
         {m.CompName, PartNames = m.Parts.Select(n =&gt; n.PartName)}).ToList();
</code></pre>
"
1694229,33186394,5456941.0,2015-10-17T12:02:11Z,33167910,0,"<p>I'm a CTO of Shoplo. Why You want to export all products? 
Maybe we can find a solution ;)</p>
"
452390,7919303,899846.0,2011-10-27T16:38:16Z,7919170,2,"<p>Use Range.NumberFormat from the Microsoft Excel Object Library. Check this <a href=""http://support.microsoft.com/kb/302084"" rel=""nofollow"">link</a>.</p>

<p>Sample code:</p>

<pre><code>oRng = oSheet.get_Range(""C2"", ""C1000""); //change this range to suit your scenario
oRng.Formula = ""&lt;any formula you may be using already or skip it&gt;"";
oRng.NumberFormat = ""#,##0.00""; 
</code></pre>

<p><strong>References:</strong></p>

<p><a href=""http://support.microsoft.com/kb/302084"" rel=""nofollow"">How to automate Microsoft Excel from Microsoft Visual C#.NET</a></p>

<p><a href=""http://stackoverflow.com/questions/3828600/convert-excel-cell-value-from-text-to-number-using-c-sharp"">StackOverflow example</a></p>
"
452416,7919872,385844.0,2011-10-27T17:25:30Z,7919170,2,"<p>I think the trick here is to get the number into the cell as a number rather than as text.  If <code>tr.Balance</code> is a string, you can convert it to a double using TryParse:</p>

<pre><code>object StringToDoubleIfPossible(string s)
{
    double parseResult;
    return !string.IsNullOrEmpty(s) &amp;&amp; double.TryParse(s, out parseResult) ? (object)parseResult : s;
}
</code></pre>

<p>EDIT: The string.IsNullOrEmpty() call is not necessary.  I put it in because I wasn't sure whether TryParse could handle a null string.  It can.  This is better:</p>

<pre><code>object StringToDoubleIfPossible(string s)
{
    double parseResult;
    return double.TryParse(s, out parseResult) ? (object)parseResult : s;
}
</code></pre>

<p>EDIT:</p>

<p>Duh!  barrowc is correct.  I was wondering why the number was going in as text in the first place.  I should have paid more attention to that '@' format.</p>
"
